,Unnamed: 0,0
0,0,"miami, fl"
1,1,new york
2,2,"oyo, nigeria"
3,3,"chicago, il"
4,4,"long beach, ca"
5,5,florida
6,6,"pennsylvania, usa"
7,7,"warrensville, nc"
8,8,"dallas, tx"
9,9,"dallas, tx"
10,10,"denver, co"
11,11,united states
12,12,italia
13,13,"tokyo, japan"
14,14,"santa monica, california"
15,15,"houston, tx"
16,16,"chicago, il"
17,17,"richmond, va"
18,18,japan
19,19,"pennsylvania, usa"
20,20,"seattle, wa"
21,21,"santa cruz, ca"
22,22,united states
23,23,"los angeles, ca"
24,24,"vancouver, british columbia"
25,25,"queens, ny"
26,26,"new orleans, la"
27,27,"baltimore, md"
28,28,"asheville, nc"
29,29,"north stonington, ct"
30,30,"frankfurt, germany"
31,31,"thompson, nd"
32,32,"syracuse, ny"
33,33,united states
34,34,hamburg
35,35,"hollywood, md"
36,36,"new york, ny"
37,37,united states
38,38,united states
39,39,"detroit, mi"
40,40,"denver, co"
41,41,"madison, wi 🦡"
42,42,"jacksonville, fl"
43,43,"providence, ri"
44,44,"florida, usa"
45,45,tlse/ france
46,46,"las vegas, nv"
47,47,brazil
48,48,"los angeles, ca"
49,49,florida
50,50,"atlanta, ga"
51,51,"west borneo, indonesia"
52,52,"fort worth, tx"
53,53,"nashville, ft. myers, orlando"
54,54,texas
55,55,"edmonton, alberta"
56,56,"holbrook, ny"
57,57,"detroit, mi"
58,58,"el paso, tx"
59,59,"ohio, united states"
60,60,"new jersey, usa"
61,61,"west columbia, sc"
62,62,"sacramento, ca"
63,63,"minneapolis, mn"
64,64,"ponce, puerto rico 🇵🇷 "
65,65,"monterrey, nuevo león, méxico."
66,66,pennsylvania 
67,67,colorado
68,68,"el paso, tx"
69,69,"richmond, va"
70,70,"north dakota, usa"
71,71,"oskaloosa, ia"
72,72,"yokosuka-shi, kanagawa"
73,73,"bartlett, il"
74,74,"toronto, ontario"
75,75,"austin, tx"
76,76,"berkley, mi"
77,77,"london, england"
78,78,"los angeles, ca"
79,79,"los angeles, ca"
80,80,"ontario, canada"
81,81,"newport beach, ca"
82,82,"matamoros, tamaulipas"
83,83,"arizona, usa"
84,84,"lincoln, england"
85,85,"vancouver, wa"
