,0
0,FL
1,NY
2,IL
3,CA
4,FL
5,PA
6,NC
7,TX
8,TX
9,CO
10,CA
11,TX
12,IL
13,VA
14,PA
15,WA
16,CA
17,CA
18,NY
19,LA
20,MD
21,NC
22,CT
23,ND
24,MD
25,NY
26,MI
27,CO
28,FL
29,RI
30,FL
31,NV
32,CA
33,FL
34,GA
35,TX
36,TX
37,NY
38,MI
39,TX
40,OH
41,NJ
42,SC
43,CA
44,MN
45,PA
46,CO
47,TX
48,VA
49,ND
50,IL
51,TX
52,MI
53,CA
54,CA
55,CA
56,AZ
57,WA
58,OH
59,TX
60,NY
61,PA
62,AL
63,CA
64,IL
65,TX
66,FL
67,WA
68,CO
69,FL
70,CA
71,LA
72,NJ
73,NY
74,TX
75,PA
76,PA
77,UT
78,FL
79,CA
80,IL
81,GA
82,MI
83,FL
84,MA
85,TX
86,MD
87,WV
88,NY
89,IL
90,CA
91,IL
92,FL
93,WA
94,FL
95,NY
96,ID
97,PA
98,CA
99,NY
100,FL
101,NY
102,TX
103,AZ
104,PA
105,TX
106,TX
107,NJ
108,CA
109,NY
110,CO
111,MD
112,CO
113,PA
114,FL
115,NH
116,CA
117,MI
118,UT
119,NC
120,NV
121,OH
122,NJ
123,TX
124,TX
125,KY
126,CA
127,SC
128,IL
129,TN
130,CA
131,TN
132,OH
133,SC
134,TX
135,ID
136,CA
137,MO
138,CA
139,NY
140,TX
141,WA
142,MN
143,PA
144,GA
145,FL
146,FL
147,TX
148,NJ
149,MD
150,WA
151,CO
152,MA
153,PA
154,SC
155,CA
156,FL
157,OK
158,KY
159,WA
160,PA
161,AZ
162,CA
163,OR
164,MO
165,DE
166,AR
167,CA
168,IL
169,MD
170,FL
171,NY
172,TX
173,CA
174,AZ
175,IL
176,MO
177,WA
178,AZ
179,IL
180,CA
181,NH
182,CA
183,SD
184,SC
185,TX
186,WA
187,IN
188,IN
189,TX
190,TX
191,NJ
192,IL
193,OH
194,NE
195,FL
196,TX
197,PA
198,IL
199,CA
200,VA
201,LA
202,CO
203,NV
204,PA
205,TX
206,FL
207,CA
208,AR
209,TX
210,CA
211,CA
212,TX
213,TX
214,NY
215,TX
216,NY
217,TX
218,WV
219,NY
220,NJ
221,NY
222,WI
223,NJ
224,GA
225,CA
226,NJ
227,VA
228,TX
229,PA
230,IL
231,CA
232,MA
233,OH
234,OK
235,TX
236,CA
237,IN
